Iterations; Zinf; Zsup; MinZsup; O_Cuts; F_Cuts; Time (s)
1;100,00;606646,10;606646,10;192;0;2,67
2;100,00;661527,46;606646,10;384;0;5,08
3;100,00;656145,53;606646,10;576;0;7,67
4;100,00;646717,69;606646,10;768;0;9,91
5;100,00;679161,61;606646,10;960;0;12,59
6;100,00;641224,39;606646,10;1152;0;15,12
7;100,00;623284,01;606646,10;1344;0;17,88
8;100,00;628276,36;606646,10;1536;0;20,71
9;100,00;640401,51;606646,10;1728;0;23,47
10;150,00;660214,02;606646,10;1920;0;25,97
11;150,00;655195,71;606646,10;2112;0;28,67
12;180,00;592732,47;592732,47;2304;0;31,53
13;190,00;621653,36;592732,47;2496;0;34,07
14;190,00;632264,88;592732,47;2688;0;37,08
15;220,00;655265,71;592732,47;2880;0;39,79
16;220,00;614746,54;592732,47;3072;0;42,37
17;220,00;592772,47;592732,47;3264;0;45,37
18;240,00;632424,00;592732,47;3456;0;48,24
19;250,00;627166,79;592732,47;3648;0;51,06
20;250,00;615078,25;592732,47;3840;0;53,97
21;270,00;596292,58;592732,47;4032;0;57,86
22;270,00;596108,08;592732,47;4224;0;61,06
23;280,00;586926,53;586926,53;4416;0;64,45
24;290,00;660354,02;586926,53;4608;0;67,27
25;290,00;655335,71;586926,53;4800;0;70,00
26;300,00;586483,68;586483,68;4992;0;73,64
27;310,00;591174,49;586483,68;5184;0;76,90
28;310,00;589512,98;586483,68;5376;0;80,05
29;330,00;593913,34;586483,68;5568;0;83,23
30;330,00;592701,37;586483,68;5760;0;86,80
31;340,00;586523,68;586483,68;5952;0;90,27
32;340,00;655385,71;586483,68;6144;0;93,06
33;340,00;660404,02;586483,68;6336;0;96,27
34;360,00;586543,68;586483,68;6528;0;99,89
35;370,00;587318,24;586483,68;6720;0;103,36
36;370,00;587583,29;586483,68;6912;0;106,52
37;370,00;596392,58;586483,68;7104;0;109,94
38;370,00;596208,08;586483,68;7296;0;113,41
39;400,00;586583,68;586483,68;7488;0;116,93
40;400,00;619393,42;586483,68;7680;0;120,87
41;400,00;634838,74;586483,68;7872;0;124,05
42;400,00;586583,68;586483,68;8064;0;128,61
43;400,00;586583,68;586483,68;8256;0;135,10
44;229669,85;587288,24;586483,68;8448;0;140,76
45;229669,85;586523,68;586483,68;8640;0;146,62
46;229679,85;586533,68;586483,68;8832;0;152,73
47;229689,85;586543,68;586483,68;9024;0;159,03
48;229699,85;586553,68;586483,68;9216;0;164,88
49;229709,85;586563,68;586483,68;9408;0;171,52
